2025-05-09 22:44:00 [INFO] 服务器已在 0.0.0.0:65432 启动，监听中...
2025-05-09 22:44:00 [INFO] 文件将保存在: C:\Users\MitruHa\Desktop\yunpan-0.1\server\serverinfo\server_files
2025-05-09 22:44:20 [INFO] 接受来自 ('127.0.0.1', 9974) 的连接。
2025-05-09 22:44:20 [DEBUG] 来自 ('127.0.0.1', 9974) 的原始请求: LIST_FILES
2025-05-09 22:44:20 [INFO] ('127.0.0.1', 9974) 请求文件列表。
2025-05-09 22:44:20 [INFO] 已向 ('127.0.0.1', 9974) 发送文件列表。
2025-05-09 22:44:32 [DEBUG] 来自 ('127.0.0.1', 9974) 的原始请求: LIST_FILES
2025-05-09 22:44:32 [INFO] ('127.0.0.1', 9974) 请求文件列表。
2025-05-09 22:44:32 [INFO] 已向 ('127.0.0.1', 9974) 发送文件列表。
2025-05-09 22:44:34 [DEBUG] 来自 ('127.0.0.1', 9974) 的原始请求: LIST_FILES
2025-05-09 22:44:34 [INFO] ('127.0.0.1', 9974) 请求文件列表。
2025-05-09 22:44:34 [INFO] 已向 ('127.0.0.1', 9974) 发送文件列表。
2025-05-09 22:44:34 [DEBUG] 来自 ('127.0.0.1', 9974) 的原始请求: LIST_FILES
2025-05-09 22:44:34 [INFO] ('127.0.0.1', 9974) 请求文件列表。
2025-05-09 22:44:34 [INFO] 已向 ('127.0.0.1', 9974) 发送文件列表。
2025-05-09 22:44:34 [DEBUG] 来自 ('127.0.0.1', 9974) 的原始请求: LIST_FILES
2025-05-09 22:44:34 [INFO] ('127.0.0.1', 9974) 请求文件列表。
2025-05-09 22:44:34 [INFO] 已向 ('127.0.0.1', 9974) 发送文件列表。
2025-05-09 22:44:34 [DEBUG] 来自 ('127.0.0.1', 9974) 的原始请求: LIST_FILES
2025-05-09 22:44:34 [INFO] ('127.0.0.1', 9974) 请求文件列表。
2025-05-09 22:44:34 [INFO] 已向 ('127.0.0.1', 9974) 发送文件列表。
2025-05-09 22:44:34 [DEBUG] 来自 ('127.0.0.1', 9974) 的原始请求: LIST_FILES
2025-05-09 22:44:34 [INFO] ('127.0.0.1', 9974) 请求文件列表。
2025-05-09 22:44:34 [INFO] 已向 ('127.0.0.1', 9974) 发送文件列表。
2025-05-09 22:44:35 [DEBUG] 来自 ('127.0.0.1', 9974) 的原始请求: LIST_FILES
2025-05-09 22:44:35 [INFO] ('127.0.0.1', 9974) 请求文件列表。
2025-05-09 22:44:35 [INFO] 已向 ('127.0.0.1', 9974) 发送文件列表。
2025-05-09 22:44:35 [DEBUG] 来自 ('127.0.0.1', 9974) 的原始请求: LIST_FILES
2025-05-09 22:44:35 [INFO] ('127.0.0.1', 9974) 请求文件列表。
2025-05-09 22:44:35 [INFO] 已向 ('127.0.0.1', 9974) 发送文件列表。
2025-05-09 22:44:37 [INFO] 客户端 ('127.0.0.1', 9974) 断开连接。
2025-05-09 22:44:37 [INFO] 关闭与 ('127.0.0.1', 9974) 的连接。
2025-05-09 22:44:37 [INFO] 接受来自 ('127.0.0.1', 9989) 的连接。
2025-05-09 22:44:37 [DEBUG] 来自 ('127.0.0.1', 9989) 的原始请求: LIST_FILES
2025-05-09 22:44:37 [INFO] ('127.0.0.1', 9989) 请求文件列表。
2025-05-09 22:44:37 [INFO] 已向 ('127.0.0.1', 9989) 发送文件列表。
2025-05-09 22:44:41 [INFO] 客户端 ('127.0.0.1', 9989) 断开连接。
2025-05-09 22:44:41 [INFO] 关闭与 ('127.0.0.1', 9989) 的连接。
2025-05-09 22:44:41 [INFO] 接受来自 ('127.0.0.1', 9990) 的连接。
2025-05-09 22:44:41 [DEBUG] 来自 ('127.0.0.1', 9990) 的原始请求: LIST_FILES
2025-05-09 22:44:41 [INFO] ('127.0.0.1', 9990) 请求文件列表。
2025-05-09 22:44:41 [INFO] 已向 ('127.0.0.1', 9990) 发送文件列表。
2025-05-09 22:44:42 [INFO] 客户端 ('127.0.0.1', 9990) 断开连接。
2025-05-09 22:44:42 [INFO] 关闭与 ('127.0.0.1', 9990) 的连接。
2025-05-09 22:44:42 [INFO] 接受来自 ('127.0.0.1', 9991) 的连接。
